ProteinID	Gene
4F2+AF8-HUMAN	SLC3A2
5HT1A+AF8-HUMAN	HTR1A
5HT1B+AF8-HUMAN	HTR1B
5HT1D+AF8-HUMAN	HTR1D
5HT1E+AF8-HUMAN	HTR1E
5HT1F+AF8-HUMAN	HTR1F
5HT2A+AF8-HUMAN	HTR2A
5HT2B+AF8-HUMAN	HTR2B
5HT2C+AF8-HUMAN	HTR2C
5HT3A+AF8-HUMAN	HTR3A
5HT3B+AF8-HUMAN	HTR3B
5HT3C+AF8-HUMAN	HTR3C
5HT3D+AF8-HUMAN	HTR3D
5HT3E+AF8-HUMAN	HTR3E
5HT4R+AF8-HUMAN	HTR4
5HT5A+AF8-HUMAN	HTR5A
5HT6R+AF8-HUMAN	HTR6
5HT7R+AF8-HUMAN	HTR7
5NTD+AF8-HUMAN	NT5E
A4+AF8-HUMAN	APP
AA1R+AF8-HUMAN	ADORA1
AA2AR+AF8-HUMAN	ADORA2A
AA2BR+AF8-HUMAN	ADORA2B
AA3R+AF8-HUMAN	ADORA3
AAA1+AF8-HUMAN	SLC7A10
AAAT+AF8-HUMAN	SLC1A5
ABCA1+AF8-HUMAN	ABCA1
ABCA2+AF8-HUMAN	ABCA2
ABCA3+AF8-HUMAN	ABCA3
ABCA4+AF8-HUMAN	ABCA4
ABCA5+AF8-HUMAN	ABCA5
ABCA6+AF8-HUMAN	ABCA6
ABCA7+AF8-HUMAN	ABCA7
ABCA8+AF8-HUMAN	ABCA8
ABCA9+AF8-HUMAN	ABCA9
ABCAC+AF8-HUMAN	ABCA12
ABCAD+AF8-HUMAN	ABCA13
ABCB5+AF8-HUMAN	ABCB5
ABCB9+AF8-HUMAN	ABCB9
ABCBB+AF8-HUMAN	ABCB11
ABCC9+AF8-HUMAN	ABCC9
ABCG2+AF8-HUMAN	ABCG2
ABCG4+AF8-HUMAN	ABCG4
ABCG5+AF8-HUMAN	ABCG5
ACATN+AF8-HUMAN	SLC33A1
ACE2+AF8-HUMAN	ACE2
ACES+AF8-HUMAN	ACHE
ACE+AF8-HUMAN	ACE
ACH10+AF8-HUMAN	CHRNA10
ACHA2+AF8-HUMAN	CHRNA2
ACHA3+AF8-HUMAN	CHRNA3
ACHA4+AF8-HUMAN	CHRNA4
ACHA5+AF8-HUMAN	CHRNA5
ACHA6+AF8-HUMAN	CHRNA6
ACHA7+AF8-HUMAN	CHRNA7
ACHA9+AF8-HUMAN	CHRNA9
ACHA+AF8-HUMAN	CHRNA1
ACHB2+AF8-HUMAN	CHRNB2
ACHB3+AF8-HUMAN	CHRNB3
ACHB4+AF8-HUMAN	CHRNB4
ACHB+AF8-HUMAN	CHRNB1
ACHD+AF8-HUMAN	CHRND
ACHE+AF8-HUMAN	CHRNE
ACHG+AF8-HUMAN	CHRNG
ACKR1+AF8-HUMAN	ACKR1
ACKR2+AF8-HUMAN	ACKR2
